county_name,lon,lat,state_name,state_alpha
Cuming County,-96.7885168,41.9158651,Nebraska,NE
Lancaster County,-96.6886584,40.7835474,Nebraska,NE
Nuckolls County,-98.0468422,40.1764918,Nebraska,NE
Keith County,-101.6444493,41.1942448,Nebraska,NE
Phelps County,-99.4065568,40.5163647,Nebraska,NE
Webster County,-98.4985897,40.1806461,Nebraska,NE
Dakota County,-96.5613555,42.3916449,Nebraska,NE
Boyd County,-98.7730221,42.8944477,Nebraska,NE
Thomas County,-100.5069105,41.8486202,Nebraska,NE
Holt County,-98.7847662,42.4592867,Nebraska,NE
Brown County,-99.9239198,42.3595618,Nebraska,NE
Keya Paha County,-99.7183514,42.8754803,Nebraska,NE
Banner County,-103.7262626,41.5397495,Nebraska,NE
Greeley County,-98.5305655,41.5675715,Nebraska,NE
Jefferson County,-97.1431027,40.1757356,Nebraska,NE
Saline County,-97.131755,40.5168024,Nebraska,NE
Dundy County,-101.6811327,40.180165,Nebraska,NE
Scotts Bluff County,-103.7015494,41.8503306,Nebraska,NE
Adams County,-98.5000441,40.5206322,Nebraska,NE
Otoe County,-96.1310274,40.6379916,Nebraska,NE
Kearney County,-98.9476019,40.5091198,Nebraska,NE
Hitchcock County,-101.044217,40.1768964,Nebraska,NE
Kimball County,-103.7031528,41.1992736,Nebraska,NE
Nemaha County,-95.8530563,40.3852358,Nebraska,NE
Custer County,-99.7268662,41.3938927,Nebraska,NE
Cass County,-96.1406086,40.9098778,Nebraska,NE
Polk County,-97.5706627,41.1879253,Nebraska,NE
Dawes County,-103.1348721,42.7112144,Nebraska,NE
Wayne County,-97.1262433,42.210746,Nebraska,NE
Garfield County,-98.951231,41.9068675,Nebraska,NE
Douglas County,-96.1540664,41.2970908,Nebraska,NE
Pierce County,-97.6109917,42.2714129,Nebraska,NE
Platte County,-97.5134673,41.5768655,Nebraska,NE
Box Butte County,-103.0817795,42.2103804,Nebraska,NE
Thurston County,-96.5339428,42.1540613,Nebraska,NE
Boone County,-98.0704764,41.7039345,Nebraska,NE
Madison County,-97.6068564,41.9099293,Nebraska,NE
McPherson County,-101.1208507,41.6484137,Nebraska,NE
Red Willow County,-100.4685764,40.1694196,Nebraska,NE
Rock County,-99.4208512,42.394749,Nebraska,NE
Gosper County,-99.8232058,40.5090947,Nebraska,NE
Gage County,-96.6834528,40.2552337,Nebraska,NE
Dawson County,-99.8151537,40.8673784,Nebraska,NE
Arthur County,-101.6958984,41.5719443,Nebraska,NE
Hayes County,-101.0479627,40.5372337,Nebraska,NE
Johnson County,-96.2653668,40.3950099,Nebraska,NE
Antelope County,-98.0580367,42.1832253,Nebraska,NE
Sioux County,-103.7321114,42.4706119,Nebraska,NE
Lincoln County,-100.7444808,41.0503221,Nebraska,NE
Sherman County,-98.9728492,41.2187425,Nebraska,NE
Logan County,-100.4436647,41.5421555,Nebraska,NE
Merrick County,-98.0310505,41.1698005,Nebraska,NE
Sheridan County,-102.3682795,42.5122888,Nebraska,NE
