county_name,state_name,geometry
Clay County,Alabama,"POLYGON ((-85.978793 33.327568, -85.976525 33.38187, -85.923762 33.396206, -85.90490899999999 33.498655, -85.85189 33.498742, -85.887782 33.469427, -85.782735 33.469349, -85.765427 33.498593, -85.64348199999999 33.495885, -85.653654 33.106634, -85.97471499999999 33.105286, -85.97456 33.090507, -86.00917 33.09026, -86.00931299999999 33.104642, -86.17437 33.104394, -86.17282999999999 33.195681, -86.12056699999999 33.194511, -86.11819799999999 33.29632, -85.980293 33.29419, -85.978793 33.327568))"
Marengo County,Alabama,"POLYGON ((-87.92970000000001 32.292516, -87.92971299999999 32.310071, -87.97094299999999 32.344347, -88.045615 32.37514, -88.040329 32.419966, -87.956211 32.470405, -87.909077 32.520876, -87.844854 32.517986, -87.84326 32.547268, -87.816633 32.537596, -87.81861499999999 32.517909, -87.728521 32.524532, -87.72874399999999 32.480918, -87.524485 32.482028, -87.52428999999999 32.307293, -87.47308 32.307614, -87.472206 32.264919, -87.50424699999999 32.268876, -87.523405 32.25483, -87.521946 32.132816, -87.624005 32.132345, -87.622756 32.005482, -87.667945 32.002158, -87.66776899999999 31.991355, -88.07348999999999 31.990182, -88.090543 32.007052, -88.104028 31.996841, -88.117414 32.055085, -88.091566 32.071066, -88.068157 32.062409, -88.044715 32.082256, -88.03945499999999 32.141285, -88.02136899999999 32.14495, -88.011324 32.16887, -88.01914499999999 32.28524, -87.97729 32.30822, -87.93794799999999 32.303008, -87.942887 32.282055, -87.92970000000001 32.292516))"
DeKalb County,Alabama,"POLYGON ((-85.75211999999999 34.666717, -85.69303699999999 34.74425, -85.66019799999999 34.754963, -85.626886 34.832121, -85.583145 34.860371, -85.51361199999999 34.523825, -85.576787 34.484437, -85.579656 34.439709, -85.61550699999999 34.393874, -85.627291 34.397142, -85.629183 34.37239, -85.664154 34.361937, -85.774165 34.259094, -85.809045 34.258921, -85.80841699999999 34.239377, -85.843801 34.244595, -85.84361699999999 34.200006, -86.10608599999999 34.200756, -86.11036199999999 34.427797, -86.057712 34.475994, -85.96234299999999 34.499755, -85.785471 34.624584, -85.75211999999999 34.666717))"
Cherokee County,Alabama,"POLYGON ((-85.78946599999999 34.086297, -85.794259 34.12788, -85.841365 34.110695, -85.843801 34.244595, -85.80841699999999 34.239377, -85.809045 34.258921, -85.774165 34.259094, -85.664154 34.361937, -85.629183 34.37239, -85.627291 34.397142, -85.61550699999999 34.393874, -85.579656 34.439709, -85.576787 34.484437, -85.51406899999999 34.524525, -85.398837 33.964129, -85.53009399999999 33.941423, -85.529432 33.95598, -85.738975 33.96846, -85.78946599999999 34.086297))"
Hale County,Alabama,"POLYGON ((-87.816828 32.832858, -87.83307499999999 32.842822, -87.82002799999999 32.84977, -87.83244499999999 32.864326, -87.810422 32.879258, -87.81870499999999 32.891133, -87.760232 32.906033, -87.775043 32.926876, -87.73213199999999 32.945573, -87.74844 32.949844, -87.738502 32.959558, -87.75054 32.977584, -87.70901499999999 32.988144, -87.71570899999999 33.006824, -87.421936 33.003379, -87.421387 32.830829, -87.472174 32.83062, -87.47391499999999 32.655867, -87.52519799999999 32.655713, -87.524485 32.482028, -87.72874399999999 32.480918, -87.728521 32.524532, -87.81255899999999 32.52456, -87.787284 32.582904, -87.76562299999999 32.567926, -87.736786 32.58918999999999, -87.75000999999999 32.61394, -87.78561499999999 32.605272, -87.812742 32.631462, -87.753733 32.633341, -87.74315799999999 32.651743, -87.787661 32.654162, -87.796043 32.715632, -87.83077 32.712856, -87.807255 32.751306, -87.83020499999999 32.769578, -87.870502 32.76183, -87.81946599999999 32.796722, -87.816828 32.832858))"
Perry County,Alabama,"POLYGON ((-87.47380699999999 32.725327, -87.472174 32.83062, -87.421387 32.830829, -87.4212 32.874508, -87.319473 32.875124, -87.31918399999999 32.831522, -87.01915699999999 32.837034, -87.01776199999999 32.729532, -87.046398 32.633144, -87.040359 32.599497, -87.081075 32.571215, -87.07951 32.540124, -87.110817 32.489948, -87.423153 32.482965, -87.42174399999999 32.308101, -87.52428999999999 32.307293, -87.52519799999999 32.655713, -87.47391499999999 32.655867, -87.47380699999999 32.725327))"
Colbert County,Alabama,"POLYGON ((-87.888294 34.781095, -87.83583299999999 34.741239, -87.762261 34.735104, -87.707572 34.772919, -87.52436299999999 34.832384, -87.42650999999999 34.800022, -87.43439099999999 34.77361399999999, -87.41591 34.764316, -87.43582699999999 34.729532, -87.42629099999999 34.709332, -87.452685 34.693013, -87.44577 34.650968, -87.483576 34.648254, -87.476822 34.637798, -87.506682 34.616828, -87.51765499999999 34.56626, -88.139988 34.581703, -88.097583 34.894675, -88.040871 34.906613, -87.97322199999999 34.88255, -87.888294 34.781095))"
Greene County,Alabama,"POLYGON ((-88.079182 32.804488, -88.101626 32.795884, -88.132685 32.832853, -88.18179499999999 32.834079, -88.154808 32.85582, -88.18084499999999 32.872723, -88.20749699999999 32.924064, -88.173186 32.935209, -88.185283 32.961878, -88.15806499999999 32.96091, -88.171757 33.008668, -88.142928 33.02536, -88.147654 33.03842, -88.084987 33.036064, -88.074873 33.052765, -88.04342799999999 33.032626, -88.03137699999999 33.042544, -88.03934199999999 33.058973, -87.96883799999999 33.077641, -87.93830899999999 33.114666, -87.83784199999999 33.153657, -87.832233 33.017258, -87.710995 33.017721, -87.70901499999999 32.988144, -87.75054 32.977584, -87.738502 32.959558, -87.74844 32.949844, -87.731072 32.947024, -87.775043 32.926876, -87.760232 32.906033, -87.818218 32.891748, -87.811143 32.877547, -87.832742 32.863729, -87.81946599999999 32.796722, -87.870464 32.762442, -87.82317599999999 32.765895, -87.80434099999999 32.742928, -87.83077 32.712856, -87.796043 32.715632, -87.787661 32.654162, -87.743174 32.652437, -87.753733 32.633341, -87.813401 32.633875, -87.78561499999999 32.605272, -87.75000999999999 32.61394, -87.736786 32.58918999999999, -87.76562299999999 32.567926, -87.787284 32.582904, -87.81657799999999 32.518061, -87.823347 32.544269, -87.864425 32.534307, -87.898355 32.592321, -87.87501399999999 32.609727, -87.855408 32.590097, -87.84088899999999 32.605763, -87.85812 32.620793, -87.90484099999999 32.614576, -87.93078199999999 32.632046, -88.05788699999999 32.593874, -88.07977 32.636329, -88.05618699999999 32.644083, -88.057987 32.674384, -88.040943 32.69028, -88.09330299999999 32.683799, -88.11675799999999 32.698528, -88.08538 32.709054, -88.109894 32.769233, -88.066992 32.784494, -88.079182 32.804488))"
Butler County,Alabama,"POLYGON ((-86.90589899999999 31.753035, -86.90893899999999 31.961673, -86.44819799999999 31.964629, -86.43834099999999 31.835539, -86.448635 31.655617, -86.499533 31.655247, -86.499213 31.525331, -86.83938599999999 31.525204, -86.86645299999999 31.546597, -86.906769 31.632671, -86.90589899999999 31.753035))"
Lee County,Alabama,"POLYGON ((-85.293221 32.730731, -85.284843 32.745131, -85.116756 32.739939, -85.117037 32.692033, -85.088483 32.657758, -85.10453199999999 32.641011, -85.083118 32.636161, -85.090886 32.625135, -85.06753499999999 32.579546, -85.00102 32.510157, -85.06091699999999 32.509196, -85.05929399999999 32.472909, -85.333843 32.468639, -85.33014299999999 32.410842, -85.434045 32.40984, -85.438575 32.49709, -85.48934799999999 32.496937, -85.661053 32.567935, -85.661253 32.582334, -85.69565399999999 32.582034, -85.696755 32.697429, -85.679654 32.69793, -85.67985399999999 32.71253, -85.610253 32.713929, -85.609994 32.727949, -85.576753 32.736362, -85.430549 32.73033, -85.430548 32.74503, -85.40454699999999 32.730531, -85.293221 32.730731))"
