state,county,year,item,budget,source
AZ,Maricopa,2021,Adult Probation,124887556,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Air Quality,25162011,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Animal Care and Control,18571548,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Assessor,26699961,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Assistant County Manager,4560855,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Board of Supervisors Dist 1,436613,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Board of Supervisors Dist 2,436613,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Board of Supervisors Dist 3,436613,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Board of Supervisors Dist 4,436613,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Board of Supervisors Dist 5,436613,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Budget,1734748,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Call Center,1969020,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Clerk of the Board,1774816,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Clerk of the Superior Court,51034697,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Constables,3943676,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Correctional Health,79681333,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,County Attorney,112965937,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,County Manager,4250919,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,County School Superintendent,23632385,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Elections,30457294,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Emergency Management,5234076,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Enterprise Technology,106240724,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Environmental Services,40577652,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Equipment Services,25993134,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Facilities Management,76459499,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Finance,6192878,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Flood Control District,127137866,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Human Resources,213873167,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Human Services,58808149,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Integrated Crim Justice Info,1702402,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Internal Audit,2416978,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Justice Courts,29076835,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Juvenile Probation,67771106,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Legal Advocate,14870028,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Legal Defender,15574224,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Library District,36676046,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Medical Examiner,12587842,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Non Departmental,1095970513,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Parks and Recreation,14575717,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Planning and Development,14758288,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Procurement Services,2663618,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Public Advocate,10576388,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Public Defender,48835852,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Public Defense Services,52937153,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Public Fiduciary,4687638,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Public Health,72054753,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Recorder,10955230,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Risk Management,36843876,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Sheriff,433778867,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Stadium District,9250000,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Superior Court,119855091,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Transportation,193930157,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Treasurer,7421068,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Eliminations County,234749314,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
AZ,Maricopa,2021,Eliminations County and Districts,11326187,https://www.maricopa.gov/ArchiveCenter/ViewFile/Item/5038
