state,county,year,item,budget,source
DC,DC,2021,Office of the Mayor,12993321,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Council of the District of Columbia,28867830,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the District of Columbia Auditor,5652967,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Inspector General,16435889,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the City Administrator,11169939,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Contract Appeals Board,1767179,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Board of Ethics and Government Accountability,2571740,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Mayor’s Office of Legal Counsel,1696490,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Senior Advisor,3519980,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Uniform Law Commission,60250,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of General Services,326547759,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Statehood Initiatives,248758,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Finance and Resource Management,28476506,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Chief Financial Officer,147324859,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Secretary,3436708,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,D.C. Department of Human Resources,11609630,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Attorney General for the District of Columbia,72765662,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Public Employee Relations Board,1340895,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Employee Appeals,2288688,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Campaign Finance,11865862,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Board of Elections,9762966,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Advisory Neighborhood Commissions,1492054,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Metropolitan Washington Council of Governments,554090,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Deputy Mayor for Greater Economic Opportunity,0,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Disability Rights,1213499,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Contracting and Procurement,25159617,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Expenditure Commission,0,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Captive Insurance Agency,2164567,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,D.C. Office of Risk Management,4856651,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Chief Technology Officer,79980881,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Planning,10855571,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Zoning,3414900,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Commission of the Arts and Humanities,2020018,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Employment Services,55419094,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,"Office of Cable Television, Film, Music, and Entertainment",1722152,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Tenant Advocate,3584764,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
