state,county,year,item,budget,source
Fla,Broward,2020,General Capital Outlay Fund,126362600,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Courthouse Bond Capital Fund,102310,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Streets and Highways Capital,12355000,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Engineering Capital,27123250,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Constitutional Gas Tax Capital,42345350,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Tourist Development Capital,56016030,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Beach Renourishment Capital,9510140,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,roward Municipal Services District Capital,18475000,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Parks and Land Preservation Bond Capital,175780,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Convention Center Hotel Bond Capital,415000,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Water And Wastewater Capital,510121930,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Port Everglades Capital,185245500,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Transit Capital Grant Fund,21272730,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,ransit Capital Non-Grants Fund,5712440,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,County Transportation Trust,123403600,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Broward Boating Improvement Capital,1696000,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Court Facility Fee Fund,5213250,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Affordable Housing Capital Projects,11955000,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Broward Redevelopment Program,149000,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Parks Impact Fee Trust Fund,465000,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
Fla,Broward,2020,Transportation Surtax Fund**,351929050,https://www.broward.org/Budget/Documents/FY20/FY20%20Adopted%20Budget/FY20%20Capital.htm
