state,county,year,item,budget,source
Fla,Franklin,2021,Taxes-Ad Valorem-Current,5556113,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Local Communications Service Tax,36133,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Building Permits,203014,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Other Licensing & Permits-Contractor Registration Fees,36610,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Other Licensing & Permits-Other Planning & Zoning Fees,14000,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Federal Grant-Emergency Management EMPG Grant,53720,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Federal Grant-Emergency Management Enhancement Grant,20000,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Federal Payments in Lieu of Taxes ,49970,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Federal Payments in Lieu of Taxes-St. Vincent Island,158273,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,State Grants-Emergency Management Assistance Grant,105806,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,State Grants-Consolidated SW Management Grant ,90909,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,State Shared Revenue-State Revenue Sharing Proceeds,255445,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,State Shared Revenue-Insurance Agents County Licenses,19467,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,State Shared Revenue-Mobile Home Licenses ,2148,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,State Shared Revenue-Alcoholic Beverage Licenses,3016,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,State Shared Revenue-Pari-Mutuel Tax Distribution,140500,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,State Shared Revenue-Local Government 1/2 Cent Sales Tax,672237,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,State Shared Revenue-Supplemental 1/2 Cent Sales Tax,24574,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Amendment 1 Ad Valorem Offset,433708,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,State Payments in Lieu of Property Taxes,75444,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,General Government-County Officer's Fees/Tax Collector,82907,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Physical Environment-Radon Fees,1884,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Human Services-Animal Control & Shelter Fees,846,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
Fla,Franklin,2021,Culture & Recreation-Fort Coombs Armory Rental,11324,https://www.franklincountyflorida.com/wp-content/uploads/2020/10/2021-BOCC-Adopted-Budget.pdf
