state,county,year,item,budget,source
MD,Allegany,2021,General Government,9649116,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Public Safety,22310263,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Public Works,11119736,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Health,2109982,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Public Welfare,1384735,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Education,38845526,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Recreation & Culture,2622113,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Conservation of Natural Resources,354371,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Community Development & Housing,0,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Economic Development,876203,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Intergovernmental,28704,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
MD,Allegany,2021,Miscellaneous,1665693,https://gov.allconet.org/ArchiveCenter/ViewFile/Item/255
