state,county,year,item,budget,source
MD,Anne Arundel,2021,Personal Services,658523900,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
MD,Anne Arundel,2021,Contractual Services,220391300,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
MD,Anne Arundel,2021,Supplies and Materials,40300500,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
MD,Anne Arundel,2021,Buissness and Travel,3182500,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
MD,Anne Arundel,2021,Capital Outlay,20542100,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
MD,Anne Arundel,2021,Debt Service,249047200,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
MD,Anne Arundel,2021,Debts. Contrib. Other.,1157329500,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
MD,Anne Arundel,2021,BOE Categories,1314957900,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
MD,Anne Arundel,2021,AACC Categories,159994300,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
MD,Anne Arundel,2021,AACPL Categories,28691600,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
MD,Anne Arundel,2021,Special Benefit Districts,16851800,https://www.aacounty.org/aacooit/budget/FY2021-Approved-Budget-Message-and-Current-Expense-Budget-FINAL.pdf
