state,county,year,item,budget,source
MD,Kent,2021,Commissioners,577022,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Circuit Court,320069,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Orphans' Court,71307,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,State's Attorney's Office,765369,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdfMD
MD,Kent,2021,Election Office,606307,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Independent Accounting and Auditing,32600,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf\
MD,Kent,2021,Finance Office,713403,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Legal,60500,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Human Resources,365964,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Planning Zoning and Housing,1059068,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Information Systems,925778,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,General Services,226971,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Building Maintenance,1428092,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Law Enforcement,3440731,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Fire Departments,1125207,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Corrections,3463233,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Building Code Inspection,26695,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
MD,Kent,2021,Board of License Commissioners,34049,https://www.kentcounty.com/images/pdf/finance/Proposed%20Budget%202021.pdf
