state,county,year,item,budget,source
MD,Montgomery,2021,General Govt.,206298497,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,Public Safety,616065680,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,Transportation,235483477,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,Health and Human Services,338852053,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,"Libraries, Culture, and Recreation",101062518,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,Community Development and Housing,99900694,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,Enviroment,164181035,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,Other County Govt. Functions,404146865,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,Debt Service,436910760,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,Maryland-national capital park and planning commision,164519721,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,College,318347932,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
MD,Montgomery,2021,Public Schools,2755507059,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/77-ScheduleB-ALL-FY2021-APPR-Publication-Report.pdf
