state,county,year,item,budget,source
NV,Clark,2021,General Government,1217680631,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Judicial,292055894,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Public Safety,1851677955,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Public Works,1601736942,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Sanitation,0,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Health,206757027,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Welfare,356573540,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Culture and Recreation,389888156,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Community Support,61076077,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Intergovernmental Expenditures,146428687,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Utility Enterprises,211270285,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Hospitals,730334919,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Transit Systems,0,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Airports,648138943,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Other Enterprises,0,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Debt Service Principal,163718304,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Debt Service Interest,183390137,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
NV,Clark,2021,Interest Cost Fiscal Charges,37726937,https://cms8.revize.com/revize/clarknv/Finance/Financial%20Reporting/Budget/FY2020-21%20Final/Introduction%20and%20Summary%20Forms%20FY%2021%20Final.pdf?t=1602110957838&t=1602110957838
