state,county,year,item,budget,source
NV,Nye,2020,Commissioners and Board,303501,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Administration,1158036,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Comptroller,870096,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Purchasing,0,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Information Systems,2096966,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Human Resources,585940,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Planning,940372,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Senior Nutrition,36596,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Public Guardian,137185,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Veterans Services,0,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Mechanic,625064,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Buildings and Grounds,1930460,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Animal Shelter,216667,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Emergency Management,403574,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Animal Control,496571,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
NV,Nye,2020,Assessor,1398803,https://nyecountynv.opengov.com/transparency#/28892/accountType=expenses&embed=n&breakdown=36549598-e62c-4231-a7e7-d75db8174e5d&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=90874&selection=50331A556D74618A4D827D14A1150C20&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2020&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
