state,county,year,item,budget,source
NV,Washoe,2021,General Government,126383540,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Judicial,83180427,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Public Safety,200656740,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Public Works,38600919,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Health,28077607,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Welfare,106447933,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Culture and Recreation,27811788,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Community Support,219761,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Intergovernmental Expenditures,11710503,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Contingencies,750000,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Utilities,18137535,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Building and Safety,3831721,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Golf Fund,554777,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Debt Service - Principal,9934406,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Interest Costs,3869450,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
NV,Washoe,2021,Service Fees,84645,https://www.washoecounty.us/budget/library_of_budgets/fy-2020-21-budget.php
