state,county,year,item,budget,source
NY, NYC, 2020, Administration for Children's Services, 393000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, City University of New York, 619000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Courts, 1262000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Department For The Aging, 42000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Department of Citywide Administrative Services, 6807000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Department of Correction, 4712000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Department of Cultural Affairs, 1121000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Department of Education, 18901000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Department of Environmental Protection, 12927000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Department of Health & Mental Hygiene, 545000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Department of Parks and Recreation, 4536000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Department of Sanitation, 2065000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Department of Transportation, 11283000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Economic Development Corporation, 4168000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Health & Hospitals Corporation, 2777000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Housing Preservation and Development, 6101000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Libraries, 1042000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, Metropolitan Transportation Authority, 755000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, New York City Housing Authority, 2695000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, New York City Human Resources Administration, 714000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, New York Fire Department, 961000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
NY, NYC, 2020, New York Police Department, 1737000, https://council.nyc.gov/budget/wp-content/uploads/sites/54/2019/06/FY20-Expense-Revenue-and-Capital-Report.pdf
