state,county,year,item,budget,source
VA,Accomack,2021,General Government Administration,4872087,https://www.co.accomack.va.us/home/showdocument?id=14015
VA,Accomack,2021,Judicial Administration,1764906,https://www.co.accomack.va.us/home/showdocument?id=14015
VA,Accomack,2021,Public Safety,6513978,https://www.co.accomack.va.us/home/showdocument?id=14015
VA,Accomack,2021,Public Works,4329425,https://www.co.accomack.va.us/home/showdocument?id=14015
VA,Accomack,2021,Health and Welfare,1090332,https://www.co.accomack.va.us/home/showdocument?id=14015
VA,Accomack,2021,Education,19180386,https://www.co.accomack.va.us/home/showdocument?id=14015
VA,Accomack,2021,Parks, Recreation and Cultural,907611,https://www.co.accomack.va.us/home/showdocument?id=14015
VA,Accomack,2021,Community Development,1312771,https://www.co.accomack.va.us/home/showdocument?id=14015
VA,Accomack,2021,Nondepartmental,460333,https://www.co.accomack.va.us/home/showdocument?id=14015
VA,Accomack,2021,Other Uses,3781152,https://www.co.accomack.va.us/home/showdocument?id=14015
