state,county,year,item,budget,source
VA,Albemarle,2021,School Division,9537000,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Public Safety,3251015,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Public Works,1873071,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Community Development,1000000,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Health & Welfare,500000,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,"Parks, Recreation, & Culture",82500,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Technology & GIS,476633,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Commonwealth's Attorney,674878,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Clerk of Circuit Court,447877,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Sherif,646768,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Registrar,53350,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Director of Finance,434374,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Administration,16589729,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Judicial,5917819,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,Police Department,19649017,https://www.albemarle.org/Home/ShowDocument?id=3385
VA,Albemarle,2021,System-Wide Fire Rescue Services,18822365,https://www.albemarle.org/Home/ShowDocument?id=3385
