state,county,year,item,budget,source
VA,Arlington,2021,County Board,1837179,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Management and Finance,891587,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Technology Services,26332140,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Human Resources,10075744,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,County Attorney,3286418,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Circuit Court Judiciary,1281389,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Clerk of the Circuit Court,3677404,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,General District Court,407675,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Juvenile and Domestic Relations Court,7424158,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Commonwealth's Attorney,4686029,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Office of the Magistrate,29986,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Office of the Public Defender,181239,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Sheriff,47406605,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Commissioner of Revenue,6006950,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Treasurer,7343231,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Electoral Board,1853991,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Public Safety Comms. & Emergency Mgmt.,13840581,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Police,74669607,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Fire,68544157,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Environmental Services,110904844,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Human Services,147612087,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Libraries,15154838,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Economic Development,8964301,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,"Community Planning, Housing & Devel.",12413973,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Parks and Recreation,49207342,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Non-Departmental/Other,70235363,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Debt Service,74962748,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Regionals/Contributions,6752011,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
VA,Arlington,2021,Metro,49308764,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/02/FY21P-Section-A-Budget-Summaries.pdf
